"Allele"	"Linear"	"Quad"
"R01G01"	"NA"	"NA"
"R04A02"	"0"	"0"
"R06C04"	"0"	"NA"
"R102H01"	"0.265017212993581"	"NA"
"R103E04"	"0.0639490792509515"	"NA"
"R107C12"	"0.514612188657037"	"0"
"R108A02"	"0.0128810046892259"	"NA"
"R33F03"	"0"	"0.0110453110911163"
"R37A04"	"NA"	"NA"
"R49F11"	"NA"	"NA"
"R52B09"	"0"	"NA"
"R52E07"	"NA"	"NA"
"R67C09"	"0"	"NA"
"R77F09"	"NA"	"0.106751777402283"
"R81E02"	"NA"	"NA"
"R82A03"	"0.503784272422827"	"0"
"R82C05"	"0.109959175408616"	"0.375657362012422"
"R83A02"	"0"	"0"
"R84A12"	"0.368431383399751"	"0.457120223342236"
"R89B08"	"0"	"NA"
"R92A10"	"0"	"0"
"R92F08"	"NA"	"NA"
"R95D10"	"0"	"0"
"R96B12"	"NA"	"0.412468911523816"
"R96C12"	"0"	"0"
